zip,avg_rent,median_rent,std_rent,min_rent,max_rent,latest_rent,year,rent_trend_1y,rent_trend_2y,rent_volatility,gentrified_business_count,gentrification_rate,total_business_count,gentrification_score,high_price_business_pct,avg_business_rating,avg_business_reviews,city,business_rating_mean,business_rating_std,business_count,review_count_mean,total_reviews,premium_price_pct,gentrified_businesses,avg_gent_score,rent_gentrification_interaction,business_density_per_rent,premium_gentrification_ratio,target
94103,3364.9787587106994,3372.164238827233,108.03607708495777,3217.9802274483673,3503.7218059263796,3503.7218059263796,2025,0.0719564975692828,0.010817939362063017,0.07555307423212951,604,0.449,1344,2.38,0.143,3.863,610.42,,3.863095238095238,1.212742448777116,1344,610.4203869047619,820405,0.14285714285714285,604,2.3802083333333335,8008.649445731464,399.4081675912145,0.064207,3503.7218059263796
94109,2784.49979737402,2770.41180413221,98.3747483300437,2652.952725245249,2920.696189056844,2920.696189056844,2025,0.06557163350196205,0.024390306810119278,0.050111169479919365,521,0.432,1207,2.392,0.147,3.839,618.268,,3.8386081193040593,1.1953408936811678,1207,618.2676056338029,746249,0.14747307373653687,521,2.391880695940348,6660.523515318656,433.4710317229279,0.06350399999999999,2920.696189056844
94110,3737.9444538583593,3770.2181910594754,167.0728019005465,3496.735922646059,3972.051789819376,3972.051789819376,2025,0.058337353617811685,0.047050362876500725,0.04668083072181607,527,0.562,938,2.518,0.075,3.926,494.936,,3.9259061833688698,1.1252228427433932,938,494.93603411513857,464250,0.07462686567164178,527,2.518123667377399,9412.144134815348,250.94005852114336,0.04215,3972.051789819376
94117,3712.0351765156133,3662.23466084818,158.62999762319834,3538.9875428312184,3944.08875128999,3944.08875128999,2025,0.0733888671999379,0.05362241361846262,0.04690267611249358,749,0.594,1262,2.735,0.13,3.907,552.729,,3.9067353407290017,1.154851418947221,1262,552.729001584786,697544,0.12995245641838352,749,2.7345483359746434,10152.416207770202,339.9752265237435,0.07722,3944.08875128999
94606,2286.4975278999345,2263.701023542888,36.85518579608074,2256.7872874373893,2352.299538085013,2333.6345004668533,2025,0.01927952736699265,-0.024167867321418283,0.023763867856223097,464,0.441,1051,2.112,0.032,3.867,321.365,,3.867174119885823,1.2249305158665171,1051,321.36536631779256,337755,0.03235014272121789,464,2.1122740247383445,4829.082778924662,459.65499073393073,0.014112,2333.6345004668533
94607,2559.148103116238,2558.418419649832,27.034353313567053,2512.099997269393,2591.4997844734685,2591.4997844734685,2025,0.01399733261039463,-0.033489795291732204,0.0301361204843461,594,0.417,1426,2.097,0.053,4.002,379.842,,4.001542776998598,1.1160005677828537,1426,379.84151472650774,541654,0.052594670406732116,594,2.096774193548387,5366.533572234751,557.2166762304926,0.022101,2591.4997844734685
94612,2492.7412152118336,2491.9819332863945,31.750484307640818,2446.20701853518,2538.200135194618,2538.200135194618,2025,0.01832918419022757,-0.08987521476839734,0.07525533296977448,497,0.448,1110,2.124,0.032,3.915,332.959,,3.9151351351351353,1.1903374618045963,1110,332.9594594594595,369585,0.032432432432432434,497,2.1243243243243244,5294.5823411099345,445.2929141726699,0.014336,2538.200135194618
94704,2880.271835231579,2885.104722684903,21.973109061837413,2850.813104107185,2909.820748205443,2883.9310541310538,2025,0.03501055459836281,0.03045813488493794,0.06032715314248691,277,0.334,830,1.978,0.028,3.946,395.96,,3.9460240963855417,1.1215736615616885,830,395.9602409638554,328647,0.027710843373493974,277,1.9783132530120482,5697.177690088063,288.1672451354809,0.009352000000000001,2883.9310541310538
94709,2633.6836549615664,2644.587119309579,36.00498088533733,2564.574043176192,2675.179541255801,2606.1428571428573,2025,0.014622370513787345,0.027976997484150307,0.02537791625786348,342,0.525,652,2.255,0.017,3.93,373.945,,3.929907975460123,1.034821381233325,652,373.9447852760736,243812,0.01687116564417178,342,2.254601226993865,5938.956641938332,247.5620026618249,0.008925,2606.1428571428573
95112,2996.1484322219094,3014.270575286325,42.77389040888235,2927.0922046484416,3043.4068650322374,3025.3288504131524,2025,0.04165717681131102,0.06050272998614563,0.05995393962863007,444,0.397,1119,2.009,0.044,3.863,490.925,,3.863092046470063,1.0678526182198602,1119,490.9249329758713,549345,0.043789097408400354,444,2.0089365504915104,6019.262200333816,373.4794938614448,0.017468,3025.3288504131524
95126,2993.4857177353842,2978.6419291345464,57.72518628043534,2927.9731709370603,3070.8904548851906,3046.052991452991,2025,0.03260237919098755,0.04082725733871995,0.056313890705857045,500,0.422,1184,2.052,0.043,3.887,498.691,,3.886570945945946,1.0554117183431362,1184,498.6908783783784,590450,0.04307432432432432,500,2.052364864864865,6142.632692793009,395.52552163025297,0.018146,3046.052991452991
