feature,importance
rent_ma_3m,0.96378953343815
rent_ma_12m,0.0163835797478829
rent_ma_6m,0.008139774129644868
rent_pct_change_1m,0.004702674409330204
rent_lag_1m,0.0016521721138610412
rent_std_3m,0.001194850984457301
time_index,0.0003251559308184196
SizeRank,0.0002986186295527321
rent_acceleration,0.0002799681791343376
rent_std_12m,0.00027917257960489934
rent_vs_12m_avg,0.00024852238552115465
rent_lag_3m,0.0002429319317874334
month_sin,0.0002272470462070539
rent_lag_12m,0.00022645622056428346
rent_pct_change_3m,0.00022437529490561416
rent_momentum_3m,0.00021019604505366165
month,0.0002075675017163707
rent_lag_6m,0.0002000887295627701
rent_vs_12m_max,0.00019656534447527098
rent_vs_12m_min,0.00015541748029707366
rent_pct_change_6m,0.0001329581112854516
rent_momentum_6m,0.00012847862111416443
month_cos,0.00011721383776075773
rent_yoy,0.00011067334249051741
rent_momentum_12m,0.00010878817595199218
rent_pct_change_12m,0.00010139955848174193
quarter,6.162647385671146e-05
momentum_gentrification_interaction,1.0046984439249457e-05
lagged_rent_gentrification_score_interaction,5.682898503040165e-06
trendy_category_business_count,3.7036575061865226e-06
avg_rating,3.06121677551629e-06
std_rating,2.8984662677875407e-06
gentrified_business_count,2.6230605658937997e-06
gentrification_intensity,2.394395190690134e-06
median_rating,2.213414674168304e-06
business_quality_index,2.194875781140963e-06
total_reviews,1.8126692389173145e-06
avg_indicator_count,1.6365136022146302e-06
gentrification_rate,1.6241268032318295e-06
high_price_business_pct,1.606824945240899e-06
avg_gentrification_score,1.5922072882815274e-06
avg_review_count,1.5409873741406156e-06
business_count,1.5303434911365386e-06
median_review_count,1.4766968439180785e-06
total_gentrification_score,1.402425624010725e-06
std_gentrification_score,1.3087872651771052e-06
high_engagement_business_count,1.2960071901848914e-06
high_price_business_count,1.1988703493536456e-06
premium_business_density,1.1483268117890538e-06
