zip,gentrified_count,gentrified_pct,total_businesses,avg_gentrification_score,high_price_pct,avg_rating,avg_review_count,attraction_score
94103,604,0.449,1344,2.38,0.143,3.863,610.42,0.5274478265225944
94109,521,0.432,1207,2.392,0.147,3.839,618.268,0.5201121161654441
94110,527,0.562,938,2.518,0.075,3.926,494.936,0.5501898347211246
94117,749,0.594,1262,2.735,0.13,3.907,552.729,0.5796016065273146
94606,464,0.441,1051,2.112,0.032,3.867,321.365,0.49582654594188436
94607,594,0.417,1426,2.097,0.053,4.002,379.842,0.5030442857142857
94612,497,0.448,1110,2.124,0.032,3.915,332.959,0.501316311800491
94704,277,0.334,830,1.978,0.028,3.946,395.96,0.4575879229489149
94709,342,0.525,652,2.255,0.017,3.93,373.945,0.5155340647896457
95112,444,0.397,1119,2.009,0.044,3.863,490.925,0.48261721892137155
95126,500,0.422,1184,2.052,0.043,3.887,498.691,0.49332083638773433
