zip,city,county,metro,avg_rent
94565,Pittsburg,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2356.9026065476514
94112,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3563.416785091751
95035,Milpitas,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3252.6224933397334
94544,Hayward,Alameda County,"San Francisco-Oakland-Berkeley, CA",2538.1083434248535
94513,Brentwood,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",3117.7052154629423
94536,Fremont,Alameda County,"San Francisco-Oakland-Berkeley, CA",3129.045734277235
94110,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3701.1626216852505
94509,Antioch,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2159.3663792241714
94538,Fremont,Alameda County,"San Francisco-Oakland-Berkeley, CA",2922.180805115304
94587,Union City,Alameda County,"San Francisco-Oakland-Berkeley, CA",2606.9271358209758
95123,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3123.3298276231794
94541,Hayward,Alameda County,"San Francisco-Oakland-Berkeley, CA",2668.5365851260403
94080,South San Francisco,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3421.003537251537
95020,Gilroy,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",2820.7150592957405
94806,Richmond,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2404.9226655196744
94015,Daly City,San Mateo County,"San Francisco-Oakland-Berkeley, CA",2523.098316719581
94501,Alameda,Alameda County,"San Francisco-Oakland-Berkeley, CA",2742.1337841990935
95127,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",2921.2778999332454
95014,Cupertino,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3743.707465864631
95051,Santa Clara,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3361.9365425109972
94568,Dublin,Alameda County,"San Francisco-Oakland-Berkeley, CA",3146.758147567815
95111,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3582.714735939416
94122,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",3250.39798824087
94087,Sunnyvale,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3165.8923618340973
95112,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",2983.5836945846827
95125,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3209.562704087392
95023,Hollister,San Benito County,"San Jose-Sunnyvale-Santa Clara, CA",2734.2589930240247
94109,San Francisco,San Francisco County,"San Francisco-Oakland-Berkeley, CA",2758.515621591759
95122,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3290.968152536216
94539,Fremont,Alameda County,"San Francisco-Oakland-Berkeley, CA",3825.9579913664516
94601,Oakland,Alameda County,"San Francisco-Oakland-Berkeley, CA",1981.017635107778
95037,Morgan Hill,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3499.2628221965147
94550,Livermore,Alameda County,"San Francisco-Oakland-Berkeley, CA",2998.3684592449767
95116,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",2822.9716982074824
95124,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3464.515187492177
94577,San Leandro,Alameda County,"San Francisco-Oakland-Berkeley, CA",2443.855957191528
95136,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3266.977336893861
94086,Sunnyvale,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3661.621971606059
95148,San Jose,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3938.012897176361
94560,Newark,Alameda County,"San Francisco-Oakland-Berkeley, CA",3260.749173947708
94014,Daly City,San Mateo County,"San Francisco-Oakland-Berkeley, CA",2831.150988594604
94546,Castro Valley,Alameda County,"San Francisco-Oakland-Berkeley, CA",2681.607484395525
94553,Martinez,Contra Costa County,"San Francisco-Oakland-Berkeley, CA",2465.1369598882616
95008,Campbell,Santa Clara County,"San Jose-Sunnyvale-Santa Clara, CA",3115.689744113375
94551,Livermore,Alameda County,"San Francisco-Oakland-Berkeley, CA",3244.860083121054
94605,Oakland,Alameda County,"San Francisco-Oakland-Berkeley, CA",2667.6341783046223
94303,East Palo Alto,San Mateo County,"San Francisco-Oakland-Berkeley, CA",3169.664362132023
